Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Has the team size grown,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Co-founders,Number of of advisors,Team size all employees,Number of  Sales Support material,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Focus on private or public data?,Local or global player,Machine Learning based business,Average Years of experience for founder and co founder,Highest education,Years of education,Specialization of highest education,Skills score,Employee benefits and salary structures,Company awards,Client Reputation,Number of Direct competitors,Last round of funding received (in milionUSD)
Company178,Success,2008,6,246,Automatic Insight Discovery,,technology,FLOODGATE|Khosla Ventures|Citi Ventures|GE Ventures|Institutional Venture Partners|Floodgate Fund,65,yes,7/16/2013,30600000,United States,North America,1,3,3,60,medium,No,No,No,Service,Private,global,Yes,Medium,PhD,25,CSE,20,Very Good,Yes,No Info,0,30.6
Company179,Success,2011,3,299,Transforming Security Risk Management,Analytics|Security|Enterprise Software,technology,Globespan Capital Partners|Menlo Ventures|Flybridge Capital Partners|Commonwealth Capital Ventures|National Science Foundation,41,yes,06/05/2013,24000000,United States,North America,3,2,2,25,high,No,No,No,Service,Private,global,No,High,Bachelors,18,CSE,20,Very Good,No,Low,10,24
Company180,Success,2010,4,-100,Big Data for Conferences,Media|Publishing,operations,Michael Chaney|Frederick Farrar|T. Mills Kelly|Wayne Buder|Gregory T Stern|Kenneth Gilbert|Gregory T.Stern|Peter J. Toren|Marco Giberti|Paolo Rubatto|Greg Stern|Peter Toren|David Neithercutt,12,yes,09/12/2013,200000,United States,North America,17,2,5,11,medium,Yes,No,No,Service,Private,global,No,High,Bachelors,18,electrical,22,Very Good,No,No Info,4,0.2
Company181,Success,2012,2,143,Unlock your email network,Analytics|Social Networking|Email,strategy,,,yes,6/28/2013,1017026,United States,North America,1,2,6,No Info,low,No,No,No,Service,Private,global,No,High,Bachelors,18,electrical,6,Average,Yes,No Info,4,1.017026
Company182,Success,2010,4,-69,Intelligent social media dashboard,Media|Analytics|Marketing,Social media analytics,Esther Dyson|Nils Johnson|Charles River Ventures|Quest Venture Partners|StartupAngel|Royce Disini|Tony Pham|Brian Shire|Adora Cheung|Jonathan Pines|SV Angel|Y Combinator|Stanford StartX,7,yes,01/01/2011,,United States,North America,12,3,0,7,medium,No,No,No,Product,Private,global,No,Medium,Bachelors,18,CSE,7,Very Good,No,Low,3,No Info
Company183,Success,2011,3,398,Acquire and retain valuable customers,,marketing,SV Angel|Founder Collective|High Line Venture Partners|Sam Altman|Valhalla Partners|Varsha Rao|Y Combinator|Paul Buchheit|Fritz Lanman|Hank Vigil,11,yes,01/05/2012,,United States,North America,9,2,0,11,high,No,No,No,Service,Private,global,No,Medium,Bachelors,18,CSE,10,Average,No,No Info,5,No Info
Company184,Success,2012,2,193,Peer-to-Peer Lending,E-Commerce|Finance,operations,Goldcrest Investments|Jennifer Johnson|Jay Leupp|Bob Ghoorah|Richard Kovacevich,,yes,01/01/2012,,United States,North America,5,3,0,No Info,low,No,No,No,Service,Private,global,Yes,Medium,Bachelors,18,TECH,11,Average,No,No Info,2,No Info
Company185,Success,2012,2,123,Mobile BI Platform,Mobile|Analytics,operations,Angel Investors,,No,09/01/2013,400000,United States,North America,1,2,4,8,medium,Yes,No,No,Product,Private,global,No,Low,No Info,No Info,tech,23,Average,Yes,Low,3,0.4
Company186,Success,2010,4,0,Opinion's Movement,Marketing,Marketing,Lorenzo Barbantini Scanni|Armando Biondi|ChileGlobal Angels|Cesare Guarini|Leandro Puca|Attilio Meoli|Maurizio Donadelli|Roberto Cipollini|Cristiano Carlutti|Filippo Meo,,Yes,08/01/2012,535000,United States,North America,11,3,9,50,medium,Yes,No,No,Product,Private,local,No,High,Masters,21,PILOT,21,Bad,No,No Info,3,0.535
Company187,Success,2012,2,53,,Analytics|Energy,Operations,,4,No,,,United States,North America,3,0,1,10,medium,No,No,No,Service,Public,Local,No,Medium,Bachelors,18,LIT,18,Bad,No,No Info,2,0.6
Company188,Success,2011,3,143,,CleanTech|Analytics|Energy,Operations,,9,Yes,,,United States,North America,1,2,0,10,low,No,No,Yes,Service,Private,Local,Yes,Medium,Masters,21,MIS,16,Very Good,No,No Info,2,No Info
Company189,Success,2011,3,268,Big Public Data,,Operations,TriplePoint Capital|Crosslink Capital|Matthew Glass|Strauss Zelnick|Brent Hurley|Comcast Ventures|American Express Ventures|New York Times|Expansion Venture Capital,15,Yes,1/30/2014,4500000,United States,North America,5,2,1,16,low,No,No,No,Product,Public,Local,No,Medium,Masters,21,business,5,Very Good,No,Low,5,4.5
Company190,Success,2011,3,28,Big Data Predictive Insight,Analytics,technology,Sierra Ventures|Mission Ventures|Sumitomo Corporation Equity Asia|Stanford University|UMC Capital|Robert Bosch Venture Capital,41,Yes,11/22/2013,16000000,United States,North America,0,2,2,50,medium,Yes,No,No,Product,Private,global,No,High,Bachelors,18,electrical engg,37,Very Good,Yes,Low,5,16
Company191,Success,2007,7,149,Content automation services,,"marketing, strategy",Court Square Ventures|OCA Ventures|IDEA Fund Partners|BoxGroup|Valhalla Partners|David Tisch,17,yes,09/01/2011,4000000,United States,North America,3,1,4,15,medium,Yes,No,No,Product,Private,global,No,High,Masters,21,TECH,8,Very Good,No,No Info,2,4
Company192,Success,2011,3,448,Marketing analytics software,Advertising|Marketing|Analytics,marketing,Investment Group of Santa Barbara|Aaron Bird|TechStars|Madrona Venture Group|MHS Capital|Rob Glaser,15,yes,11/26/2012,1700000,United States,North America,3,2,0,15,high,No,No,No,Product,Private,global,No,High,Masters,21,MGMT,24,Average,No,Low,5,1.7
Company193,Success,2012,2,0,,,technology,Data Collective|Ignition Partners|Intel Capital|Amplify Partners|Atlantic Bridge,1,yes,9/24/2013,15000000,United States,North America,0,2,8,15,medium,Yes,No,No,Service,Private,global,No,High,Masters,21,TECH,12,Average,No,No Info,7,15
Company194,Success,2011,3,162,Self-driven big data exploration,Enterprise Software,strategy,Kleiner Perkins Caufield & Byers|Andreessen Horowitz|Google Ventures|Khosla Ventures|DAG Ventures,30,yes,3/31/2014,21000000,United States,North America,0,2,6,30,medium,Yes,No,No,Product,Private,global,No,High,Masters,21,TECH,18,Bad,No,No Info,2,21
Company195,Success,2013,1,286,,Retail|Analytics,customer engagement,Austin Ventures|FLOODGATE|Contour Venture Partners|Allegro Venture Partners|Mack Capital|Brett Hurt|Sam Decker|Adam Ross|Tom Meredith|Dean Drako|Floodgate Fund,41,yes,5/21/2013,4200000,United States,North America,0,2,6,43,medium,No,No,No,Service,Private,global,No,Medium,Bachelors,18,TECH,17,Bad,No,No Info,2,4.2
Company196,Success,2012,2,1,,Analytics,operations,Madrona Venture Group|Vulcan Capital|Geoff Entress|Bloomberg Beta,19,yes,7/16/2013,7000000,United States,North America,1,1,11,28,low,No,No,No,Product,Private,global,No,High,PhD,25,TECH,18,Bad,No,No Info,1,7
Company197,Success,2011,3,270,,Analytics|Enterprise Software|Cloud Computing|Software Development,technology,Battery Ventures|Andreessen Horowitz|Ignition Partners|Data Collective|Amplify Partners,27,yes,11/14/2012,10000000,United States,North America,0,2,2,20,low,No,No,No,Product,Private,global,No,High,Bachelors,18,TECH,17,Average,Yes,No Info,3,10
Company198,Success,2012,2,299,The Marketing Suite for the Visual Web,Marketing|Analytics,marketing,New Enterprise Associates|First Round Capital|MentorTech Ventures,30,yes,1/15/2013,3000000,United States,North America,3,2,2,22,high,No,No,No,Service,Private,global,Yes,High,Bachelors,18,TECH,5,Very Good,No,No Info,4,3
Company199,Success,2011,3,291,,Analytics,technology,Foundry Group|Neu Venture Capital|David Cohen|Tasso Argyros|Mayank Bawa|Dave Kellogg|Mike Greenfield,8,No,12/10/2013,3150000,United States,North America,7,2,1,8,high,No,No,No,Service,Private,global,No,High,Bachelors,18,TECH,12,Bad,No,Low,3,3.15
Company200,Success,2009,5,456,Big Data Analytics,Analytics,technology,Redpoint Ventures|Kleiner Perkins Caufield & Byers|Next World Capital|Software AG|Workday|Citi Ventures,89,yes,12/17/2013,19000000,United States,North America,0,2,0,80,high,No,No,No,Product,Private,global,No,High,Masters,21,TECH,14,Very Good,No,Low,3,19
Company201,Success,2010,4,331,big data platform powered by Cassandra,,Operations,Lightspeed Venture Partners|Sequoia Capital|Jason Calacanis|Crosslink Capital|Salil Deshpande|Meritech Capital Partners|Scale Venture Partners|Next World Capital|DFJ Growth,209,yes,7/23/2013,45000000,United States,North America,1,2,1,226,high,Yes,No,No,Product,Private,Global,Yes,High,Bachelors,18,MGT,18,Average,No,Low,2,45
Company202,Success,2012,2,118,Stream Processing,Analytics|Enterprise Software,operations,August Capital|Morado Venture Partners|AME Cloud Ventures,18,No,6/26/2013,8000000,United States,North America,2,2,0,22,medium,No,No,No,Product,Private,Global,Yes,Medium,Bachelors,18,MGMT,18,Average,No,Low,5,8
Company203,Success,2011,3,258,Customer Experience Management Platform,,Sales,XSeed Capital,44,Yes,9/26/2013,2550000,United States,North America,0,2,6,45,low,No,No,No,Product,Private,Local,Yes,High,Bachelors,18,MGMT,14,Average,No,No Info,2,2.55
Company204,Success,2010,4,131,Doubleclick for Market Research,Advertising|Market Research,Marketing,Sopris Partners|Voodoo Ventures,48,Yes,11/08/2011,2800000,United States,North America,0,0,0,49,medium,Yes,No,Yes,Product,Private,Local,No,High,Masters,21,business,14,Very Good,No,No Info,1,2.8
Company205,Success,2009,5,222,,Software Development,technology,,50,Yes,8/27/2012,,United States,North America,0,2,3,50,high,No,No,No,Service,Private,global,No,High,PhD,25,electrical,22,Average,No,No Info,4,No Info
Company206,Success,2009,5,56,Data Collection for Web Scale IT,Enterprise Software|Software Development,technology,Javelin Venture Partners|FirstMark Capital|First Round Capital|Safeguard Scientifics,27,yes,12/06/2012,8700000,United States,North America,2,2,3,24,high,Yes,No,No,Product,Private,global,No,High,Bachelors,18,COMMUNICTIONS,18,Average,Yes,No Info,6,8.7
Company207,Success,2010,4,281,,Energy,operations,Khosla Ventures,15,yes,7/24/2013,5000000,United States,North America,0,2,4,15,low,No,No,No,Service,Private,global,No,High,Bachelors,18,COMPUTERS,14,Very Good,Yes,No Info,3,5
Company208,Success,2007,7,331,patented social media analysis,Analytics,Social media analytics,Charles F. Dolan|Golden Seeds|Springboard Enterprises,83,yes,9/28/2012,5089656,United States,North America,0,1,1,85,high,Yes,No,No,Product,Private,global,No,High,PhD,25,COMPUTERS,20,Average,No,No Info,2,5.089656
Company209,Success,2011,3,194,,CleanTech|Analytics|Real Estate|Energy,Operations,Battery Ventures|Nth Power|RockPort Capital Partners|Vast Ventures|E.ON,41,Yes,12/10/2013,8500000,United States,North America,0,2,2,48,medium,No,No,No,Service,Private,Local,Yes,High,Masters,21,MGMT,42,Bad,No,No Info,2,8.5
Company210,Success,2007,7,5,IT Operations Analytics,Security|Cloud Computing,Operations,Miramar Venture Partners|US Venture Partners|ATA Ventures,53,Yes,05/01/2012,18000000,United States,North America,0,1,0,80,medium,Yes,No,No,Product,Private,global,No,High,PhD,25,electrical,17,Very Good,No,Low,3,18
Company211,Success,2011,3,109,Big data/analytics for energy use,CleanTech|Energy,operations,Foundation Capital|Voyager Capital|Stanford University|E.ON,31,yes,1/27/2014,12750000,United States,North America,0,1,0,50,medium,Yes,No,No,Product,Private,local,No,High,PhD,25,electrical,37,Bad,No,Low,3,12.75
Company212,Success,2000,14,194,In-store Customer Analytics,,strategy,Mohr Davidow Ventures|RBC Venture Partners|Columbia Capital|Relay Ventures|Eastward Capital Partners,58,yes,10/05/2012,4000000,United States,North America,0,0,0,40,medium,No,No,Yes,Service,Private,global,No,High,Bachelors,18,TECH,41,Average,No,Low,6,4
Company213,Success,2009,5,61,,E-Commerce,technology,ZIG Capital|JCB Investments|Moore Venture Partners|La Jolla Holding|TomorrowVentures|venture capitals,23,No,6/26/2013,4000000,United States,North America,0,1,0,10,high,Yes,No,No,Service,Private,global,No,High,Masters,21,MGMT,22,Bad,No,Low,1,4
Company214,Success,2008,6,464,Real-Time Performance Monitoring,Analytics,marketing,Mehdi Daoudi|Battery Ventures,43,yes,12/10/2013,6000001,United States,North America,0,4,2,50,high,Yes,No,No,Service,Private,global,No,Medium,Masters,21,INTERNATIONAL TRADE,23,Average,No,No Info,2,6.000001
Company215,Success,2009,5,31,,Advertising|Retail|Mobile,marketing,Crosscut Ventures|Launchpad LA,4,yes,07/12/2010,,United States,North America,0,1,0,7,low,Yes,Yes,Yes,Product,Private,local,No,High,Bachelors,18,ARTS,14,Very Good,No,No Info,4,unknown amount
Company216,Success,2012,2,98,,E-Commerce|Enterprise Software|Analytics,"marketing, strategy",BOLDstart Ventures,9,yes,07/10/2013,795000,United States,North America,0,2,1,9,low,Yes,No,No,Service,Private,global,No,Medium,Bachelors,18,FINANCE,10,Bad,No,No Info,3,0.795
Company217,Success,2012,2,,,,operations,,,No,,,,,0,2,1,4,low,No,No,No,Service,Private,global,No,High,Masters,21,MGMT,14,Very Good,No,Low,2,0.05
Company218,Success,2009,5,,,,Operations,,,Yes,,,,,0,1,10,77,high,Yes,No,No,Product,Private,Global,No,High,Bachelors,18,ENGLISH,14,Average,No,Low,3,9.5
Company219,Success,2000,14,170,Customer Intelligence Solutions,Analytics,Marketing,Oak Investment Partners|Diamondhead Ventures|Ampersand Capital Partners,172,yes,12/22/2013,11778004,United States,North America,0,0,0,173,low,Yes,No,No,Product,Private,Global,No,High,Bachelors,18,MATHS,10,Bad,No,Low,2,11.778004
Company220,Success,2008,6,294,Intelligent Customer Engagement,E-Commerce|Analytics|Mobile|Retail,operations,Sequoia Capital|Norwest Venture Partners|Qualcomm Ventures|American Express Ventures,410,yes,02/11/2014,4500000,Singapore,Asia,1,3,0,415,high,No,No,No,Service,Private,global,No,Medium,Bachelors,18,engg,25,Average,No,No Info,3,4.5
Company221,Success,2007,7,,,,Operations,,,yes,,,,,1,2,0,77,medium,Yes,No,Yes,Service,Private,Global,No,High,Masters,21,business,33,Bad,No,No Info,2,0.525
Company222,Success,No Info,No Info,-254,,Analytics,"Marketing, Procurement, Human Resources",Fidelity Growth Partners India|Fidelity Growth Partners Europe,448,Yes,8/23/2012,20000000,United States,North America,0,3,0,433,low,No,No,Yes,Service,Private,Global,No,High,PhD,25,MGMT,3,Bad,Yes,No Info,2,20
Company223,Success,2007,7,36,Video Monetization Platform,Entertainment,Operations,,1,No,02/01/2008,500000,United States,North America,0,0,0,5,low,No,No,No,Product,Private,Local,Yes,High,Bachelors,18,CSE,18,Very Good,No,No Info,1,0.5
Company224,Failed,2009,5,12,Making Cities Easier to Love,,Operations,Neoteny Labs|500 Startups|Chamath Palihapitiya|Allen Morgan|Ted Rheingold|TechStars|Social Starts,,No,02/05/2012,800000,United States,North America,1,2,0,7,high,Yes,No,Yes,Product,Private,Global,Yes,Low,Bachelors,18,COMPUTERS,12,Average,No,Low,2,0.8
Company225,Failed,2009,5,-16,We enable people to DJ online,Music,Operations,John Gerstenlauer|TechStars,1,No,03/01/2010,18000,United States,North America,2,0,1,4,medium,Yes,No,No,Product,Private,Local,Yes,High,No Info,No Info,,10,Average,No,No Info,2,0.018
Company226,Success,2010,4,-29,Business Intelligence and Analytics,Analytics|E-Commerce,sales,Lightspeed Venture Partners|Kleiner Perkins Caufield & Byers,10,No,5/17/2013,11000000,United States,North America,0,2,3,10,low,No,No,Yes,Product,Private,Local,No,High,Bachelors,18,engg,38,Bad,Yes,Low,2,11
Company227,Failed,2008,6,0,Golf improvement analytics,Mobile,Operations,Maine Technology Institute|Libra Future Fund|TechStars,0,No,12/04/2009,150000,United States,North America,7,2,1,6,low,Yes,No,No,Product,Private,Local,Yes,High,Bachelors,18,economics,10,Average,Yes,No Info,3,0.15
Company228,Failed,2005,9,-133,,Finance,Operations,O'Reilly AlphaTech Ventures|Union Square Ventures,0,No,06/01/2007,4000000,United States,North America,1,1,3,20,medium,Yes,No,No,Service,Private,Local,No,Low,Bachelors,18,media,0,No Info,No,No Info,11,4
Company229,Success,2012,2,,,,"CRM, Marketing, Human Resources",,,yes,,,,,0,2,1,30,medium,No,No,No,Service,Private,Global,Yes,High,Bachelors,18,Arts,10,No Info,No,High,10,3.5
Company230,Success,2012,2,63,"Save Time, Gain Insight, Take Action",Analytics|Enterprise Software,Marketing,ICG Ventures|Middleland Capital|Fortify Ventures,4,No,2/26/2013,600000,United States,North America,3,2,0,6,low,Yes,No,No,Service,Both,Global,Yes,High,Masters,21,law,25,No Info,No,No Info,0,0.6
Company231,Success,2012,2,1193,Pinterest Analytics and Marketing,Analytics|Marketing,Marketing,i2E|SeedStep Angels group,13,No,11/06/2013,1000000,United States,North America,2,2,0,15,high,Yes,Yes,Yes,Service,Private,Global,Yes,Medium,Bachelors,18,"Finance, Management",37,No Info,No,High,2,1
Company232,Success,2011,3,207,time-series database service,Network / Hosting / Infrastructure|Analytics,Database Management,TechStars|Hyde Park Venture Partners|Chicago Ventures|Divergent Ventures|John Ives|Data Collective|Lew Moorman|John Engates|Jason Seats,13,No,10/09/2013,3200000,United States,North America,6,3,2,18,high,No,No,No,Both,Private,Global,No,Medium,Bachelors,18,Computer Science,10,No Info,Yes,High,0,3.2
Company233,Failed,No Info,No Info,13,Social Payments,,operation,Y Combinator|Chris Sacca|The Accelerator Group|betaworks,,No,9/24/2008,1000000,United States,North America,1,2,1,No Info,Nothing,No,No,No,Product,no,No Info,No,Medium,Masters,21,Human computer interaction,7,No Info,No,Medium,2,1
Company234,Success,2010,4,388,Being in step with your customers,,CRM,Pitango Venture Capital|Gemini Israel Ventures|Canvas Venture Fund|InterWest Partners,36,yes,02/05/2014,15500000,United States,North America,0,3,3,37,high,No,No,No,Product,Private,Global,No,High,Bachelors,18,Computer Science,50,No Info,Yes,High,4,15.5
Company235,Success,2008,6,-96,Social Media Management  System (SMMS),E-Commerce|Publishing|Marketing,marketing,Flybridge Capital Partners|Revel Partners,52,yes,03/08/2013,3500000,United States,North America,0,5,5,55,high,No,Yes,Yes,Service,Private,Global,Yes,High,Masters,21,MBA,50,No Info,Yes,High,1,3.5
Company236,Success,2012,2,,,,"Merchandising, Marketing",,,No,,,,,1,3,0,6,low,Yes,No,No,Service,Private,Local,No,Medium,Masters,21,MBA,23,No Info,Yes,High,0,0.04
Company237,Failed,2005,9,,,,Travel Planning,,,No,,,,,0,1,2,8,Nothing,Yes,No,No,Service,Public,Global,No,High,Bachelors,18,Literature and History,49,No Info,Yes,No Info,0,No Info
Company238,Success,2012,2,32,,Analytics|Marketing,Marketing,Google Ventures|CommonAngels|500 Startups|Charles River Ventures|Boston Seed Capital|Dharmesh Shah|Waikit Lau|Nick Ducoff|John Simon,12,No,12/03/2012,1200000,United States,North America,0,4,0,10,medium,Yes,No,No,Service,Public,Global,No,High,Masters,21,Computer Science,12,No Info,Yes,Medium,0,1.2
Company239,Success,2012,2,40,Big data analytics with ttwick search,E-Commerce|Market Research|Analytics|Deals|Finance,Marketing,Jacob Perkins|Dan Casey,5,yes,05/03/2013,455000,United States,North America,2,2,0,6,Nothing,No,Yes,No,Both,Public,Global,Yes,High,Masters,21,MBA,30,No Info,No,Medium,0,0.455
Company240,Success,2011,3,603,data visualization ,Marketing,"Data Visualization, Content Marketing, Presentations",Crosslink Capital|SoftTech VC|500 Startups|Kapor Capital|Giza Venture Capital|Endeavor Partners|Naval Ravikant|Mark Goines|Josh James|Anthemis Group|Ecosystem Ventures|Paige Craig|Streamlined Ventures|Correlation Ventures|Quest Venture Partners,95,Yes,1/14/2014,8100000,United States,North America,0,4,8,96,high,Yes,No,No,Service,Private,Global,No,Medium,Bachelors,18,Arts,16,No Info,Yes,High,0,8.1
Company241,Failed,2007,7,,,,News,,,No,,,,,0,2,0,2,Nothing,No,No,No,Service,Public,Local,No,High,Masters,21,MBA,24,No Info,No,No Info,1,No Info
Company242,Success,No Info,No Info,65,,Cloud Computing|Energy,analtics,Atlanta Technology Angels|Auburn Angel Network|Upper Carolina Angel Network,8,No,11/28/2012,714205,United States,North America,0,2,0,6,low,No,No,Yes,Product,Both,local,No,Medium,Bachelors,18,engg,25,No Info,No,Low,0,0.714205
Company243,Success,2009,5,73,Open-Source DBMS,Network / Hosting / Infrastructure|Enterprise Software,analytics,Sigma Prime Ventures|Kepha Partners|Sigma Partners,31,yes,3/14/2014,8000000,United States,North America,0,2,0,36,high,Yes,No,Yes,Product,Both,global,No,High,Bachelors,18,economics,25,No Info,No,Low,3,8
Company244,Success,2010,4,359,Trust in the Cloud,Security,security,Deutsche Telekom|Andreessen Horowitz|Index Ventures|T-Venture,297,yes,12/05/2012,30000000,United States,North America,4,1,1,297,high,Yes,No,Yes,Service,Both,global,No,High,Bachelors,18,computer science,25,Good,Yes,High,0,30
Company245,Success,2012,2,89,Whatsapp for local businesses,Mobile|Analytics,social media,,6,No,10/15/2012,28000,India,Asia,0,2,0,4,medium,No,No,Yes,Service,no,global,No,Low,Masters,21,chemical engg,16,No Info,No,No Info,0,0.028
Company246,Success,2009,5,127,,Education,elearning,Ventureast Tenet Fund|Benesse Holdings,45,yes,11/24/2013,,India,Asia,2,2,0,46,high,No,No,No,Product,no,local,No,Medium,Bachelors,18,engg,25,No Info,No,Low,0,unknown amount
Company247,Success,2011,3,359,Fastest Growing Talent Assessment Site.,Career / Job Search,service,Lumis Partners,19,YES,7/25/2013,,India,Asia,0,2,0,30,high,Yes,No,Yes,Service,no,local,No,Medium,Bachelors,18,business,2,No Info,No,Low,0,unknown amount
Company248,Success,2010,4,511,Interactive online video,Advertising|Analytics,analytics,Gerard Govaerts|Fortino,14,No,12/22/2013,3000000,Belgium,Europe,1,5,0,8,low,Yes,No,Yes,Service,Both,global,No,Medium,Masters,21,technology,24,No Info,No,Low,0,3
Company249,Success,2012,2,316,,Analytics,PHONE INTELLIGENCE,Seed Capital,,yes,11/29/2013,,Denmark,Europe,1,2,0,50,low,Yes,No,Yes,Product,Public,GLOBAL,Yes,Medium,Bachelors,18,ECO,14,No Info,Yes,No Info,0,unknown amount
Company250,Success,2012,2,40,Twitter Monitoring App,Analytics,social branding,SODENA,,No,11/19/2012,110000,Spain,Europe,1,0,1,No Info,medium,No,No,No,Service,Both,global,Yes,High,Masters,21,MGMT,22,No Info,No,No Info,0,0.11
Company251,Success,2012,2,89,Track Competitors on Social Media,Analytics|Marketing,social media,Vendep Oy,11,yes,06/01/2013,600000,Finland,Europe,1,2,0,10,low,Yes,No,Yes,Service,Public,GLOBAL,Yes,High,Bachelors,18,MGMT,18,No Info,No,Low,0,0.6
Company252,Success,2011,3,157,One-click data visualization,Analytics,reporting,TechStars,10,yes,2/25/2013,,France,Europe,2,4,0,13,low,Yes,No,No,Product,Public,global,No,High,Masters,21,ECONOMICS,29,No Info,Yes,Low,4,unknown amount
Company253,Success,2013,1,224,,Analytics|Retail|Mobile|Enterprise Software|Market Research,MARKETING,Kima Ventures|Oleg Tscheltzoff|Angélique Berge,,No,03/12/2014,450000,France,Europe,3,3,0,10,low,Yes,No,Yes,Product,Public,GLOBAL,Yes,Medium,Masters,21,MBA,18,No Info,Yes,Low,9,0.45
Company254,Success,2009,5,-19,Big Data real-time analytics,Cloud Computing|E-Commerce|Analytics,DASHBOARDS,Eden Ventures|Pentech Ventures|Oxford Technology Management|Imperial Innovations,20,No,9/19/2012,3600000,United Kingdom,Europe,3,2,0,50,medium,Yes,No,Yes,Product,Both,GLOBAL,Yes,High,Bachelors,18,BSC,24,No Info,No,Low,0,3.6
Company255,Success,2012,2,138,,Analytics,technology,Bootstrap Incubation,5,No,10/01/2013,2100000,United Kingdom,Europe,0,3,3,50,low,Yes,No,Yes,Product,Both,GLOBAL,Yes,High,Masters,21,MBA,51,No Info,No,No Info,0,2.1
Company256,Success,2011,3,205,Local analytics for the physical world,Analytics|Retail,localized behaviour,Startup Bootcamp|Startupbootcamp,10,No,04/04/2012,15000,United Kingdom,Europe,2,2,1,10,low,No,Yes,No,Product,Public,global,Yes,Medium,Masters,21,it,27,No Info,No,No Info,19,0.015
Company257,Success,2010,4,35,Real time analytics for TV & video,Media|Analytics|Entertainment,VIDEO STREAMING,,7,No,,,United Kingdom,Europe,0,3,0,50,low,No,No,No,Service,Public,GLOBAL,Yes,Medium,Masters,21,POL.SC,0,No Info,No,Low,21,No Info
Company258,Success,2011,3,59,Disruptive Root Cause Analysis,Analytics|E-Commerce,OPERATIONS,Dan Somers|Technology Strategy Board,7,No,03/01/2013,400000,United Kingdom,Europe,2,3,0,10,medium,No,Yes,Yes,Service,Public,GLOBAL,Yes,High,Masters,21,DIPLOMA,51,Bad,No,Low,11,0.4
Company259,Success,2013,1,133,Europe Card Linked Offers,Analytics,PAYMENT,,5,No,06/01/2013,,United Kingdom,Europe,1,0,0,10,medium,No,No,No,Service,Private,LOCAL,No,High,Masters,21,BUSINESS STUDIES,18,No Info,No,Low,13,unknown amount
Company260,Success,2010,4,131,Reward platform for fans,Analytics|Marketing,marketing,Wayra|Angel Academe,4,No,03/07/2014,,United Kingdom,Europe,2,1,0,10,low,Yes,No,Yes,Service,Public,LOCAL,Yes,High,Masters,21,entrepreneurial,25,No Info,No,No Info,0,unknown amount
Company261,Success,2010,4,357,SaaS Business Status Dashboard,Analytics,software,Index Ventures|500 Startups|Christoph Janz|Alexander Bruehl|DN Capital|Point Nine Capital|Slow Ventures,14,yes,9/28/2012,1500000,United Kingdom,Europe,5,2,0,50,Nothing,Yes,No,Yes,Service,no,LOCAL,Yes,High,Bachelors,18,it,8,No Info,No,No Info,5,1.5
Company262,Success,2010,4,-26,Social Data Platform,Analytics,web,David Richmond|Upfront Ventures|IA Ventures|Hermann Hauser|Scale Venture Partners|Northgate Capital|Daher Capital|Global Retail Partners|Founders Den|GRP Partners|Insight Venture Partners|Cendana Capital,104,yes,12/03/2013,42000000,United Kingdom,Europe,1,1,1,200,Nothing,Yes,No,No,Service,Public,GLOBAL,No,High,No Info,No Info,,20,No Info,No,No Info,0,42
Company263,Failed,2007,7,-3,Browser-based screencast,E-Commerce,curated web,Reid Hoffman|Caterina Fake|Stewart Butterfield|Bud Colligan|Rajeev Motwani|Kevin Lynch|Joi Ito|First Round Capital,,No,1/31/2008,1300000,United States,North America,8,1,2,No Info,low,Yes,No,Yes,Product,no,global,No,High,PhD,25,business,0,No Info,No,No Info,0,1.3
Company264,Failed,2007,7,-30,Social search engine,Search|Social Networking,networking,Carmel Ventures|Dotforge,,No,7/19/2008,1750000,Israel,Asia,0,3,0,No Info,Nothing,Yes,No,Yes,Product,no,local,No,High,Bachelors,18,computer sc,25,No Info,No,No Info,1,1.75
Company265,Success,2005,9,-207,VOIP phone calls to mobile phones,Telecommunications,wireless,Draper Fisher Jurvetson (DFJ)|Mayfield Fund|Draper Richards|Reid Hoffman|August Capital|Mangrove Capital Partners|Lehman Brothers|Pejman Nozad,9,No,6/23/2008,10000000,United States,North America,0,2,1,9,Nothing,Yes,No,Yes,Product,no,local,No,High,Bachelors,18,computer sc,25,No Info,No,No Info,4,10
Company266,Success,No Info,No Info,-725,Online community for writers,Publishing,curated web,Signature Capital|Northport Private Equity|LaunchCapital,244,No,05/05/2011,10000000,United States,North America,0,1,0,50,Nothing,No,No,Yes,Product,no,local,No,High,Bachelors,18,finance,21,No Info,No,No Info,3,10
Company267,Failed,2007,7,,,,curated web,,,No,,,,,0,0,0,10,low,Yes,No,Yes,Product,no,local,No,High,Masters,21,computer sc,25,No Info,No,No Info,1,0.45
Company268,Failed,No Info,No Info,242,,Advertising,advertising,3i Group|Battery Ventures|e.ventures,1,No,10/01/2005,8000000,United States,North America,0,1,0,50,Nothing,No,No,Yes,Service,no,local,No,High,Bachelors,18,no,25,No Info,No,No Info,0,8
